Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Tue,2019-10-22,22:00 (15:00),Galatasaray tr,0.8,0–1,3.0,es Real Madrid,48886,Türk Telekom Arena,Daniele Orsato,Match Report,
Group stage,3,Wed,2019-10-23,18:55 (12:55),RB Leipzig de,1.7,2–1,0.7,ru Zenit,41058,Red Bull Arena,Ali Palabıyık,Match Report,
Group stage,3,Wed,2019-10-23,18:55 (12:55),Ajax nl,0.5,0–1,1.8,eng Chelsea,52482,Johan Cruyff ArenA,Ovidiu Hațegan,Match Report,
Group stage,3,Wed,2019-10-23,20:00 (15:00),Benfica pt,0.7,2–1,1.0,fr Lyon,53035,Estádio do Sport Lisboa e Benfica,Ivan Kružliak,Match Report,
Group stage,3,Wed,2019-10-23,21:00 (15:00),Inter it,1.5,2–0,0.3,de Dortmund,65673,Stadio Giuseppe Meazza,Anthony Taylor,Match Report,
Group stage,3,Wed,2019-10-23,21:00 (15:00),RB Salzburg at,1.8,2–3,0.5,it Napoli,29520,Red Bull Arena,Clément Turpin,Match Report,
Group stage,3,Wed,2019-10-23,21:00 (15:00),Lille fr,1.6,1–1,0.4,es Valencia,47488,Stade Pierre-Mauroy,Deniz Aytekin,Match Report,
Group stage,3,Wed,2019-10-23,21:00 (15:00),Genk be,0.8,1–4,2.0,eng Liverpool,19626,Luminus Arena,Slavko Vinčič,Match Report,
Group stage,3,Wed,2019-10-23,21:00 (15:00),Slavia Prague cz,1.5,1–2,2.3,es Barcelona,19170,Sinobo Stadium,Bobby Madden,Match Report,
,,,,,,,,,,,,,,
Group stage,4,Tue,2019-11-05,18:55 (12:55),Barcelona es,2.0,0–0,0.2,cz Slavia Prague,67023,Camp Nou,Michael Oliver,Match Report,
Group stage,4,Tue,2019-11-05,20:55 (12:55),Zenit ru,0.9,0–2,1.2,de RB Leipzig,50452,Gazprom Arena,Orel Grinfeeld,Match Report,
Group stage,4,Tue,2019-11-05,20:00 (15:00),Liverpool eng,2.0,2–1,0.5,be Genk,52611,Anfield,Ivan Kružliak,Match Report,
Group stage,4,Tue,2019-11-05,20:00 (15:00),Chelsea eng,3.7,4–4,0.8,nl Ajax,39132,Stamford Bridge,Gianluca Rocchi,Match Report,
Group stage,4,Tue,2019-11-05,21:00 (15:00),Valencia es,2.2,4–1,1.4,fr Lille,38252,Estadio de Mestalla,Sergey Karasev,Match Report,
Group stage,4,Tue,2019-11-05,21:00 (15:00),Napoli it,2.6,1–1,1.6,at RB Salzburg,32862,Stadio San Paolo,Szymon Marciniak,Match Report,
Group stage,4,Tue,2019-11-05,21:00 (15:00),Dortmund de,2.5,3–2,1.2,it Inter,66099,Signal Iduna Park,Danny Makkelie,Match Report,
Group stage,4,Tue,2019-11-05,21:00 (15:00),Lyon fr,0.9,3–1,1.1,pt Benfica,51077,Groupama Stadium,Björn Kuipers,Match Report,
Group stage,4,Wed,2019-11-06,18:55 (12:55),Bayern Munich de,2.5,2–0,0.1,gr Olympiacos,63646,Allianz Arena,Paweł Raczkowski,Match Report,
Group stage,4,Wed,2019-11-06,20:55 (12:55),Loko Moscow ru,2.1,1–2,2.4,it Juventus,26862,RZD Arena,Ruddy Buquet,Match Report,
Group stage,4,Wed,2019-11-06,21:00 (15:00),Atalanta it,0.7,1–1,1.8,eng Manchester City,34326,Stadio Giuseppe Meazza,Aliaksei Kulbakou,Match Report,
Group stage,4,Wed,2019-11-06,21:00 (15:00),Leverkusen de,0.8,2–1,1.6,es Atlético Madrid,28160,BayArena,Damir Skomina,Match Report,
