Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,4,Thu,2017-11-02,21:05 (16:05),Lazio it,1–0,fr Nice,21327,Stadio Olimpico,Jesús Gil,Match Report,
Group stage,4,Thu,2017-11-02,21:05 (16:05),Vitesse nl,0–2,be Zulte Waregem,17906,GelreDome,Yevhen Aranovskyi,Match Report,
Group stage,4,Thu,2017-11-02,21:05 (16:05),Athletic Club es,1–0,se Östersund,32354,San Mamés,Paweł Gil,Match Report,
Group stage,4,Thu,2017-11-02,21:05 (16:05),Köln de,5–2,by BATE Borisov,45200,RheinEnergieSTADION,Aleksandar Stavrev,Match Report,
Group stage,4,Thu,2017-11-02,21:05 (16:05),Hertha BSC de,2–0,ua Zorya Luhansk,20358,Olympiastadion Berlin,John Beaton,Match Report,
Group stage,4,Thu,2017-11-02,22:05 (16:05),FCSB ro,1–1,il Be'er Sheva,27134,Arena Naţională,Halis Özkahya,Match Report,
,,,,,,,,,,,,
Group stage,5,Thu,2017-11-23,22:00 (11:00),FC Astana kz,2–3,es Villarreal,29800,Astana Arena,Gediminas Mažeika,Match Report,
Group stage,5,Thu,2017-11-23,19:00 (13:00),Köln de,1–0,eng Arsenal,45300,RheinEnergieSTADION,Vladislav Bezborodov,Match Report,
Group stage,5,Thu,2017-11-23,19:00 (13:00),Athletic Club es,3–2,de Hertha BSC,38928,San Mamés,Paolo Tagliavento,Match Report,
Group stage,5,Thu,2017-11-23,19:00 (13:00),Lugano ch,1–0,il Be'er Sheva,3011,swissporarena,Harald Lechner,Match Report,
Group stage,5,Thu,2017-11-23,19:00 (13:00),Rosenborg no,0–1,es Real Sociedad,18307,Lerkendal Stadion,Daniel Stefański,Match Report,
Group stage,5,Thu,2017-11-23,19:00 (13:00),Lazio it,1–1,nl Vitesse,8226,Stadio Olimpico,Ali Palabıyık,Match Report,
Group stage,5,Thu,2017-11-23,19:00 (13:00),Viktoria Plzeň cz,2–0,ro FCSB,10197,Doosan Arena,Ivan Bebek,Match Report,
Group stage,5,Thu,2017-11-23,19:00 (13:00),RB Salzburg at,3–0,pt Vitória,6474,Red Bull Arena,Andrew Dallas,Match Report,
Group stage,5,Thu,2017-11-23,19:00 (13:00),Östersund se,2–0,ua Zorya Luhansk,7754,Jämtkraft Arena,Kevin Blom,Match Report,
Group stage,5,Thu,2017-11-23,19:00 (13:00),Nice fr,3–1,be Zulte Waregem,20274,Stade de Nice,Luca Banti,Match Report,
Group stage,5,Thu,2017-11-23,21:00 (13:00),Konyaspor tr,1–1,fr Marseille,18000,Konya Büyükşehir Stadı,Sergey Karasev,Match Report,
Group stage,5,Thu,2017-11-23,21:00 (13:00),Zenit ru,2–1,mk FK Vardar,38196,Gazprom Arena,Bart Vertenten,Match Report,
Group stage,5,Thu,2017-11-23,21:00 (13:00),BATE Borisov by,0–0,rs Red Star,12000,Borisov Arena,Svein Oddvar Moen,Match Report,
Group stage,5,Thu,2017-11-23,21:00 (13:00),Loko Moscow ru,2–1,dk FC Copenhagen,10696,RZD Arena,Javier Estrada,Match Report,
Group stage,5,Thu,2017-11-23,20:05 (15:05),Braga pt,3–1,de Hoffenheim,10054,Estádio Municipal de Braga,Andre Marriner,Match Report,
Group stage,5,Thu,2017-11-23,20:05 (15:05),Everton eng,1–5,it Atalanta,17431,Goodison Park,Jakob Kehlet,Match Report,
Group stage,5,Thu,2017-11-23,21:05 (15:05),Milan it,5–1,at Austria Wien,17932,Stadio Giuseppe Meazza,Andris Treimanis,Match Report,
Group stage,5,Thu,2017-11-23,21:05 (15:05),Skënderbeu Korçë al,3–2,ua Dynamo Kyiv,100,Elbasan Arena,Oliver Drachta,Match Report,
Group stage,5,Thu,2017-11-23,21:05 (15:05),Lyon fr,4–0,cy Apollon Limassol,26972,Groupama Stadium,Paweł Raczkowski,Match Report,
Group stage,5,Thu,2017-11-23,21:05 (15:05),Partizan rs,2–1,ch Young Boys,20568,Stadion Partizana,Tamás Bognár,Match Report,
Group stage,5,Thu,2017-11-23,22:05 (15:05),AEK Athens gr,2–2,hr Rijeka,17100,Olympiako Stadio Spyros Louis,Mattias Gestranius,Match Report,
Group stage,5,Thu,2017-11-23,22:05 (15:05),Sheriff Tiraspol md,1–0,cz Fastav Zlín,5485,Bolshaya Sportivnaya Arena,Ola Nilsen,Match Report,
Group stage,5,Thu,2017-11-23,22:05 (15:05),Maccabi Tel Aviv il,0–2,cz Slavia Prague,6874,Winner Stadium,István Kovács,Match Report,
Group stage,5,Thu,2017-11-23,22:05 (15:05),Ludogorets bg,1–2,tr Başakşehir,7520,Ludogorets Arena,Miroslav Zelinka,Match Report,
,,,,,,,,,,,,
Group stage,6,Thu,2017-12-07,19:00 (13:00),Fastav Zlín cz,0–2,ru Loko Moscow,4682,Andrův stadion,Mete Kalkavan,Match Report,
Group stage,6,Thu,2017-12-07,19:00 (13:00),Young Boys ch,2–1,al Skënderbeu Korçë,8023,Stade de Suisse Wankdorf Bern,Lee Evans,Match Report,
Group stage,6,Thu,2017-12-07,19:00 (13:00),Villarreal es,0–1,il Maccabi Tel Aviv,12613,Estadio de la Cerámica,Mads-Kristoffer Kristoffersen,Match Report,
Group stage,6,Thu,2017-12-07,19:00 (13:00),Apollon Limassol cy,0–3,eng Everton,4237,Stadio Città del Tricolore,Sébastien Delferière,Match Report,
Group stage,6,Thu,2017-12-07,19:00 (13:00),FC Copenhagen dk,2–0,md Sheriff Tiraspol,14246,Telia Parken,Serdar Gözübüyük,Match Report,
Group stage,6,Thu,2017-12-07,19:00 (13:00),Atalanta it,1–0,fr Lyon,14500,Stadio Città del Tricolore,Aleksey Eskov,Match Report,
Group stage,6,Thu,2017-12-07,19:00 (13:00),Slavia Prague cz,0–1,kz FC Astana,14198,Sinobo Stadium,Davide Massa,Match Report,
Group stage,6,Thu,2017-12-07,19:00 (13:00),Austria Wien at,0–0,gr AEK Athens,23133,Ernst-Happel-Stadion,Craig Pawson,Match Report,
Group stage,6,Thu,2017-12-07,19:00 (13:00),Hoffenheim de,1–1,bg Ludogorets,7814,PreZero Arena,Orel Grinfeeld,Match Report,
Group stage,6,Thu,2017-12-07,19:00 (13:00),Rijeka hr,2–0,it Milan,8021,Nogometno igralište Rujevica,István Vad,Match Report,
Group stage,6,Thu,2017-12-07,20:00 (13:00),Dynamo Kyiv ua,4–1,rs Partizan,14678,NSK Olimpijs'kyj,Paweł Gil,Match Report,
Group stage,6,Thu,2017-12-07,21:00 (13:00),Başakşehir tr,2–1,pt Braga,5241,Başakşehir Fatih Terim Stadium,John Beaton,Match Report,
Group stage,6,Thu,2017-12-07,20:05 (15:05),Arsenal eng,6–0,by BATE Borisov,25909,Arsenal Stadium,Robert Schörgenhofer,Match Report,
Group stage,6,Thu,2017-12-07,20:05 (15:05),Vitória pt,1–1,tr Konyaspor,9040,Estádio Dom Afonso Henriques,Daniel Siebert,Match Report,
Group stage,6,Thu,2017-12-07,21:05 (15:05),Vitesse nl,1–0,fr Nice,17564,GelreDome,Sandro Schärer,Match Report,
Group stage,6,Thu,2017-12-07,21:05 (15:05),Real Sociedad es,1–3,ru Zenit,20609,Estadio Municipal de Anoeta,Liran Liany,Match Report,
Group stage,6,Thu,2017-12-07,21:05 (15:05),Hertha BSC de,1–1,se Östersund,15686,Olympiastadion Berlin,Tiago Martins,Match Report,
Group stage,6,Thu,2017-12-07,21:05 (15:05),Zulte Waregem be,3–2,it Lazio,8845,Regenboogstadion,Charalambos Kalogeropoulos,Match Report,
Group stage,6,Thu,2017-12-07,21:05 (15:05),FK Vardar mk,1–1,no Rosenborg,7839,Telekom Arena,Sergiy Boyko,Match Report,
Group stage,6,Thu,2017-12-07,21:05 (15:05),Marseille fr,0–0,at RB Salzburg,23812,Orange Vélodrome,Aliaksei Kulbakov,Match Report,
Group stage,6,Thu,2017-12-07,21:05 (15:05),Red Star rs,1–0,de Köln,51364,Stadion Rajko Mitić,Bobby Madden,Match Report,
Group stage,6,Thu,2017-12-07,22:05 (15:05),Zorya Luhansk ua,0–2,es Athletic Club,8428,L'viv Arena,Ruddy Buquet,Match Report,
Group stage,6,Thu,2017-12-07,22:05 (15:05),Be'er Sheva il,0–2,cz Viktoria Plzeň,10542,Turner Stadium,Aleksandar Stavrev,Match Report,
Group stage,6,Thu,2017-12-07,22:05 (15:05),FCSB ro,1–2,ch Lugano,13231,Arena Naţională,Nikola Dabanović,Match Report,
,,,,,,,,,,,,
Round of 32,,Tue,2018-02-13,18:00 (12:00),Red Star rs,0–0,ru CSKA Moscow,35642,Stadion Rajko Mitić (Neutral Site),Paweł Raczkowski,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,22:00 (11:00),FC Astana kz,1–3,pt Sporting CP,29737,Astana Arena (Neutral Site),Ruddy Buquet,Match Report,Leg 1 of 2
Round of 32,,Fri,2018-02-16,00:00 (13:00),Dortmund de,3–2,it Atalanta,62500,Astana Arena (Neutral Site),Daniel Stefański,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,19:00 (13:00),Marseille fr,3–0,pt Braga,21731,Orange Vélodrome (Neutral Site),Serdar Gözübüyük,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,19:00 (13:00),Nice fr,2–3,ru Loko Moscow,16918,Stade de Nice (Neutral Site),István Kovács,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,19:00 (13:00),Östersund se,0–3,eng Arsenal,7665,Jämtkraft Arena (Neutral Site),David Fernández,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,19:00 (13:00),Real Sociedad es,2–2,at RB Salzburg,19790,Estadio Municipal de Anoeta (Neutral Site),Bobby Madden,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,20:00 (13:00),Ludogorets bg,0–3,it Milan,7887,Ludogorets Arena (Neutral Site),Milorad Mažić,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,21:00 (13:00),Spartak Moscow ru,1–3,es Athletic Club,43145,Akademiya Spartak (Neutral Site),Benoît Bastien,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,20:05 (15:05),Celtic sco,1–0,ru Zenit,56743,Celtic Park (Neutral Site),Damir Skomina,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,21:05 (15:05),Napoli it,1–3,de RB Leipzig,14554,Stadio San Paolo (Neutral Site),Artur Soares Dias,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,21:05 (15:05),Partizan rs,1–1,cz Viktoria Plzeň,17165,Stadion Partizana (Neutral Site),Tasos Sidiropoulos,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,21:05 (15:05),AEK Athens gr,1–1,ua Dynamo Kyiv,30518,Telia Parken (Neutral Site),Carlos del Cerro,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,21:05 (15:05),FC Copenhagen dk,1–4,es Atlético Madrid,34912,Telia Parken (Neutral Site),Aliaksei Kulbakov,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,21:05 (15:05),Lyon fr,3–1,es Villarreal,46846,Groupama Stadium (Neutral Site),Viktor Kassai,Match Report,Leg 1 of 2
Round of 32,,Thu,2018-02-15,22:05 (15:05),FCSB ro,1–0,it Lazio,33455,Arena Naţională (Neutral Site),Deniz Aytekin,Match Report,Leg 1 of 2
