Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,4,Thu,11/8/2018,20:55 (12:55),BATE Borisov by,0.6,0–1,0.9,eng Chelsea,13141,Borisov Arena,Miloš Bošković,Match Report,
Group stage,4,Thu,11/8/2018,20:00 (15:00),Arsenal eng,1.4,0–0,0.2,pt Sporting CP,59758,Emirates Stadium,Gediminas Mažeika,Match Report,
Group stage,4,Thu,11/8/2018,20:00 (15:00),Celtic sco,1.5,2–1,1.1,de RB Leipzig,56027,Celtic Park,Javier Estrada,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Leverkusen de,0.9,1–0,1,ch Zürich,16179,BayArena,Paweł Gil,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Rosenborg no,0.7,2–5,2.9,at RB Salzburg,12386,Lerkendal Stadion,Mikhail Vilkov,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Bordeaux fr,2.1,1–1,0.7,ru Zenit,8907,Stade Matmut-Atlantique,Harald Lechner,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Dinamo Zagreb hr,,3–1,,sk Spartak Trnava,18154,Stadion Maksimir,Yevhen Aranovskyi,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Betis es,1,1–1,1,it Milan,45647,Estadio Benito Villamarín,Chris Kavanagh,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Slavia Prague cz,0.5,0–0,0,dk FC Copenhagen,18702,Sinobo Stadium,Mattias Gestranius,Match Report,
Group stage,4,Thu,11/8/2018,22:00 (15:00),Olympiacos gr,3.4,5–1,0.2,lu F91 Dudelange,24032,Stadio Georgios Karaiskáki,Petr Ardeleánu,Match Report,
Group stage,4,Thu,11/8/2018,22:00 (15:00),Ludogorets bg,0.8,0–0,0.6,cy AÉK Lárnaka,4520,Ludogorets Arena,Ola Nilsen,Match Report,
Group stage,4,Thu,11/8/2018,22:00 (15:00),Vorskla Poltava ua,0.2,0–1,1.3,az Qarabağ Ağdam,5479,Stadion Vorskla im. Oleksiya Butov'skogo,Sandro Schärer,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Thu,11/29/2018,18:50 (10:50),Spartak Moscow ru,0.8,1–2,1.6,at Rapid Wien,20739,Otkrytie Arena,Paweł Gil,Match Report,
Group stage,5,Thu,11/29/2018,21:50 (10:50),Astana FK kz,2.3,0–1,0.4,ua Dynamo Kyiv,26508,Astana Arena,Ivan Bebek,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),RB Salzburg at,1.3,1–0,0.5,de RB Leipzig,29520,Red Bull Arena,Orel Grinfeeld,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Leverkusen de,1.2,1–1,0.4,bg Ludogorets,16066,BayArena,Allard Lindhout,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Betis es,1.8,1–0,0.7,gr Olympiacos,37722,Estadio Benito Villamarín,Sergey Karasev,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Bordeaux fr,1.3,2–0,0.7,cz Slavia Prague,6311,Stade Matmut-Atlantique,Fabio Verissimo,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Anderlecht be,0.9,0–0,0.5,sk Spartak Trnava,8063,Stade Constant Vanden Stock,Anastasios Papapetrou,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Zürich ch,0.7,1–2,0.5,cy AÉK Lárnaka,6107,Stadion Letzigrund,Mikhail Vilkov,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Milan it,1.5,5–2,0.4,lu F91 Dudelange,15521,Stadio Giuseppe Meazza,Vladislav Bezborodov,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Rosenborg no,0.4,0–1,1.2,sco Celtic,14061,Lerkendal Stadion,Halis Özkahya,Match Report,
Group stage,5,Thu,11/29/2018,19:55 (12:55),Vorskla Poltava ua,1,0–3,2.6,eng Arsenal,7751,NSK Olimpijs'kyj,Bartosz Frankowski,Match Report,
Group stage,5,Thu,11/29/2018,20:55 (12:55),BATE Borisov by,0.5,2–0,0.4,hu Vidi,8963,Borisov Arena,Carlos del Cerro,Match Report,
Group stage,5,Thu,11/29/2018,20:55 (12:55),Krasnodar ru,1.2,2–1,0.6,tr Akhisarspor,11008,Krasnodar Stadium,Ivaylo Stoyanov,Match Report,
Group stage,5,Thu,11/29/2018,20:55 (12:55),Zenit ru,0.3,1–0,0.6,dk FC Copenhagen,45199,Gazprom Arena,Slavko Vinčič,Match Report,
Group stage,5,Thu,11/29/2018,20:55 (12:55),Fenerbahçe tr,1,0–0,0.5,hr Dinamo Zagreb,24776,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Robert Schörgenhofer,Match Report,
Group stage,5,Thu,11/29/2018,21:55 (12:55),Qarabağ Ağdam az,0.7,1–6,3.1,pt Sporting CP,5416,Bakı Olimpiya Stadionu,Petr Ardeleánu,Match Report,
Group stage,5,Thu,11/29/2018,20:00 (15:00),Rangers sco,0.7,0–0,2.4,es Villarreal,50171,Ibrox Stadium,Matej Jug,Match Report,
Group stage,5,Thu,11/29/2018,20:00 (15:00),Chelsea eng,2.4,4–0,0.2,gr PAOK,33933,Stamford Bridge,Kristo Tohver,Match Report,
Group stage,5,Thu,11/29/2018,21:00 (15:00),Sarpsborg 08 no,3.5,2–3,2.1,tr Beşiktaş,8022,Sarpsborg Stadion,Harald Lechner,Match Report,
Group stage,5,Thu,11/29/2018,21:00 (15:00),Malmö se,1.1,2–2,1.5,be Genk,16117,Swedbank Stadion,Srđan Jovanović,Match Report,
Group stage,5,Thu,11/29/2018,21:00 (15:00),Standard Liège be,2.7,1–0,0.8,es Sevilla,12882,Stade Maurice Dufrasne,Daniel Siebert,Match Report,
Group stage,5,Thu,11/29/2018,21:00 (15:00),Jablonec cz,1.6,0–1,0.5,fr Rennes,4712,Stadion Střelnice,Tiago Martins,Match Report,
Group stage,5,Thu,11/29/2018,21:00 (15:00),Eint Frankfurt de,3.4,4–0,0.9,fr Marseille,47000,Commerzbank-Arena,John Beaton,Match Report,
Group stage,5,Thu,11/29/2018,22:00 (15:00),Apollon cy,1,2–0,0.7,it Lazio,1131,Neo GSP,Roi Reinshreiber,Match Report,
,,,,,,,,,,,,,,
Group stage,6,Thu,12/13/2018,18:55 (12:55),Rennes fr,2.3,2–0,0.4,kz Astana FK,24535,Roazhon Park,Serdar Gözübüyük,Match Report,
Group stage,6,Thu,12/13/2018,18:55 (12:55),Genk be,1.4,4–0,0.5,no Sarpsborg 08,12240,Luminus Arena,István Kovács,Match Report,
Group stage,6,Thu,12/13/2018,18:55 (12:55),Rapid Wien at,0.8,1–0,0.4,sco Rangers,23850,Allianz Stadion,Paolo Mazzoleni,Match Report,
Group stage,6,Thu,12/13/2018,18:55 (12:55),Marseille fr,1.1,1–3,1.7,cy Apollon,9274,Orange Vélodrome,Constantin Colțescu,Match Report,
Group stage,6,Thu,12/13/2018,18:55 (12:55),Sevilla es,1.9,3–0,0.4,ru Krasnodar,34114,Estadio Ramón Sánchez Pizjuán,Daniel Stefański,Match Report,
Group stage,6,Thu,12/13/2018,18:55 (12:55),Vidi hu,0.5,2–2,1.1,eng Chelsea,19242,Groupama Arena,Aleksandar Stavrev,Match Report,
Group stage,6,Thu,12/13/2018,18:55 (12:55),Villarreal es,1.9,2–0,1.2,ru Spartak Moscow,12903,Estadio de la Cerámica,Aleksandrs Golubevs,Match Report,
Group stage,6,Thu,12/13/2018,18:55 (12:55),Lazio it,0.9,1–2,1.4,de Eint Frankfurt,18252,Stadio Olimpico,Halil Meler,Match Report,
Group stage,6,Thu,12/13/2018,19:55 (12:55),Dynamo Kyiv ua,2.1,0–1,1.4,cz Jablonec,11300,NSK Olimpijs'kyj,Ívar Orri Kristjánsson,Match Report,
Group stage,6,Thu,12/13/2018,19:55 (12:55),PAOK gr,2.5,1–3,1.4,by BATE Borisov,13483,Stadio Toumbas,Christian Dingert,Match Report,
Group stage,6,Thu,12/13/2018,20:55 (12:55),Akhisarspor tr,1.4,0–0,1.1,be Standard Liège,2674,Spor Toto Akhisar Stadyumu,Ádám Farkas,Match Report,
